PSOE;PP;Cs;PODEMOS;VOX;AHORA REPÚBLICAS;JUNTS UE;CEUS;PACMA;RECORTES CERO;VOLT;PFAC;PCPE/PCPC;ANDALUCISTAS;EXISTE;PCTE;PIRATAS/REBELDES;IZQPESP;CREE EN EUROPA;EXTREMEÑOS;FE DE LAS JONS;PH;SUMAR;SE ACABÓ LA FIESTA;FO;IE;SAE;ESCAÑOS EN BLANCO;PMR;PREPAL;F;J.U.E.X.;GLG;CRT;Comunidad;Provincia
119490;198186;1323;9963;20413;78592;114;143;2214;120;253;553;211;35;173;209;247;467;126;24;150;98;9954;9199;1259;349;214;387;87;70;78;43;991;74;"Galicia";"A Coruña"
48218;66047;1014;3483;17717;172;12;29;939;46;244;166;69;24;179;107;85;227;85;8;71;52;4912;8703;462;126;110;125;78;21;40;11;18;25;"Castilla - La Mancha";"Albacete"
200790;246240;4752;16337;75265;2135;657;260;5107;328;919;1199;577;203;599;403;358;882;434;68;372;306;36216;38746;2546;1109;354;779;406;116;262;101;145;161;"Comunitat Valenciana";"Alicante / Alacant"
57795;92624;1249;3804;32881;196;41;47;1241;103;420;204;80;377;122;118;77;268;57;20;112;55;6036;15179;718;296;151;174;55;22;47;18;31;42;"Andalucía";"Almería"
36280;22201;265;4565;4952;26933;61;19122;796;57;83;275;83;24;119;88;99;135;47;20;27;51;4722;2885;534;312;56;317;26;50;19;33;31;32;"País Vasco";"Araba / Álava"
148390;156031;3067;16027;42005;1661;140;138;2648;225;448;775;387;34;505;935;221;1565;247;28;253;162;25186;13953;2007;521;240;603;118;97;152;36;86;144;"Principado de Asturias";"Asturias"
18821;35504;555;1538;8282;102;16;21;286;26;114;61;23;6;111;58;31;112;98;11;91;20;1770;3014;222;74;69;48;23;35;29;10;19;19;"Castilla y León";"Ávila"
93096;105518;1361;5305;25025;201;154;36;994;70;276;289;157;25;260;166;67;281;103;724;118;60;6275;9123;495;158;167;93;65;31;45;1097;20;33;"Extremadura";"Badajoz"
585958;259634;11013;93674;109879;256874;288116;1660;24746;980;2122;4635;1784;949;1423;1901;4571;2330;601;216;653;562;87235;51924;7004;3769;399;2291;1463;431;352;593;617;1006;"Cataluña";"Barcelona"
122255;53702;636;14780;12401;104887;875;117821;2461;185;186;904;362;63;417;323;230;982;95;36;72;114;15279;8164;1900;918;110;654;99;69;88;44;55;154;"País Vasco";"Bizkaia"
48072;65729;1600;3895;15287;668;22;129;922;79;178;222;87;27;772;223;127;397;79;17;109;63;5234;6097;877;222;289;256;58;78;95;29;36;51;"Castilla y León";"Burgos"
57491;65045;796;3878;15918;207;25;25;629;34;214;192;73;24;258;112;57;243;58;591;84;44;3973;5083;424;106;104;83;21;32;39;798;27;33;"Extremadura";"Cáceres"
124523;143638;2972;11174;42064;542;196;127;3746;188;694;641;337;3929;410;362;217;923;207;49;167;204;21630;25379;1246;471;199;341;133;60;163;57;105;138;"Andalucía";"Cádiz"
79473;109479;2241;6924;25358;820;140;260;1600;109;397;302;148;37;199;347;154;615;128;29;155;112;8057;14610;1009;520;160;277;73;52;100;33;57;86;"Cantabria";"Cantabria"
72986;82931;1596;6090;26970;1403;499;81;1604;96;302;390;186;47;835;136;131;247;97;24;161;66;16666;11712;946;303;205;310;148;40;73;34;47;50;"Comunitat Valenciana";"Castellón / Castelló"
6375;7223;99;400;3309;21;4;4;86;3;29;10;20;16;6;10;9;23;14;6;5;4;312;1544;42;8;8;11;46;2;21;2;3;3;"Ciudad de Ceuta";"Ceuta"
62579;83236;1044;3467;22372;142;23;38;945;47;203;173;90;111;177;102;58;250;55;21;103;48;4867;7884;577;145;61;100;18;18;49;36;21;43;"Castilla - La Mancha";"Ciudad Real"
94768;119888;2164;7725;30641;183;40;64;1776;162;470;310;352;1436;133;414;100;573;130;19;189;98;19732;16091;856;261;180;295;82;25;87;44;33;46;"Andalucía";"Córdoba"
28022;34375;384;1569;10233;94;11;25;330;29;77;74;44;22;514;50;36;99;29;2;62;16;2121;3218;276;77;106;67;14;4;24;7;8;13;"Castilla - La Mancha";"Cuenca"
66743;23950;323;8375;5925;96153;308;57651;1355;95;118;447;174;136;152;160;149;317;60;33;31;71;8437;3922;928;623;43;470;63;30;70;34;35;104;"País Vasco";"Gipuzkoa"
49555;20236;697;6753;12154;34439;68136;192;2811;94;285;441;234;62;97;325;723;196;62;21;73;63;6273;4630;573;461;64;285;258;51;46;163;72;21;"Cataluña";"Girona"
110224;131980;2574;10194;39807;446;49;86;2233;135;631;471;267;1430;407;379;137;688;168;16;169;109;16339;20743;1009;476;319;318;49;33;83;34;37;70;"Andalucía";"Granada"
30596;38462;772;3223;14950;255;21;45;838;33;116;152;63;122;267;131;84;209;68;19;120;43;4289;6750;510;135;76;95;19;28;38;25;24;29;"Castilla - La Mancha";"Guadalajara"
56772;61619;1027;3840;16320;140;85;45;987;64;252;186;83;1108;111;93;64;224;98;22;72;62;6691;7863;391;501;115;319;60;25;57;37;23;32;"Andalucía";"Huelva"
27195;32372;677;2414;9661;351;177;28;495;52;88;149;53;15;1586;89;64;197;36;15;69;32;4093;4031;415;205;122;186;28;20;28;12;16;30;"Aragón";"Huesca"
91995;113896;1856;10005;35649;16457;2392;3058;2914;121;467;732;241;114;208;269;269;429;190;42;150;153;13871;17057;1160;1221;108;369;153;63;125;60;101;95;"Illes Balears";"Illes Balears"
87481;98091;1339;4645;26771;123;36;36;1222;113;267;191;167;1034;1581;172;65;297;140;14;149;64;8566;10975;542;146;292;252;78;17;59;17;20;65;"Andalucía";"Jaén"
40132;55067;774;2864;10831;450;23;99;627;51;134;205;71;24;231;140;93;295;66;8;75;60;4007;4514;495;169;159;258;33;40;45;20;27;51;"La Rioja";"La Rioja"
108544;103598;1413;11674;44504;896;403;22219;3001;190;540;534;299;80;181;198;181;468;151;38;120;183;15943;23141;1120;608;115;263;218;86;120;61;90;114;"Canarias";"Las Palmas"
65231;80632;1210;4846;19711;398;121;44;918;55;198;292;94;17;265;286;92;380;70;16;132;28;5314;7774;741;244;158;137;28;1736;43;18;64;36;"Castilla y León";"León"
28368;14573;415;2631;7197;23368;32642;109;1004;44;114;211;133;25;60;117;323;101;35;14;52;34;2574;2755;322;372;66;199;206;24;24;68;42;30;"Cataluña";"Lleida"
34587;66816;276;1778;5867;17366;61;46;507;32;81;119;78;5;59;53;74;111;24;8;41;27;1543;2224;317;106;169;95;43;13;26;9;269;16;"Galicia";"Lugo"
782765;1131527;30641;123946;298285;7485;1665;1442;20167;904;3385;4750;1143;1449;4179;2413;1846;8235;2328;701;2284;1311;161405;140944;13486;3849;792;3574;583;984;1083;1123;686;1078;"Comunidad de Madrid";"Madrid"
