Tipo convocatoria;Id convocatoria;ccaa;prv;circunscripcion;municipio;distrito;candidatura;votos;votos validos;votos censo;votos candidaturas;tipo de representante;representantes
4;202305;14;48;;20;;EUZKO ALDERDI JELTZALEA- PARTIDO NACIONALISTA VASCO;54.426;36,57;20,31;37,24;Concejales;12
4;202305;14;48;;20;;EUSKAL HERRIA BILDU;28.110;18,89;10,49;19,24;Concejales;6
4;202305;14;48;;20;;PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE);24.350;16,36;9,09;16,66;Concejales;5
4;202305;14;48;;20;;PARTIDO POPULAR;17.951;12,06;6,7;12,28;Concejales;4
4;202305;14;48;;20;;ELKARREKIN PODEMOS - EZKER ANITZA / IU - BERDEAK EQUO - ALIANZA VERDE;11.883;7,98;4,43;8,13;Concejales;2
4;202305;14;48;;20;;VOX;5.049;3,39;1,88;3,46;Concejales;0
4;202305;14;48;;20;;PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE;1.600;1,08;0,6;1,09;Concejales;0
4;202305;14;48;;20;;ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS - AULKI ZURIAK ESERLEKUAK HUTSIK UZTEKO;877;0,59;0,33;0,6;Concejales;0
4;202305;14;48;;20;;POR UN MUNDO MAS JUSTO - BIDEZKO MUNDURANTZ;613;0,41;0,23;0,42;Concejales;0
4;202305;14;48;;20;;STOP;459;0,31;0,17;0,31;Concejales;0
4;202305;14;48;;20;;CIUDADANOS-PARTIDO DE LA CIUDADANIA;342;0,23;0,13;0,23;Concejales;0
4;202305;14;48;;20;;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;315;0,21;0,12;0,22;Concejales;0
4;202305;14;48;;20;;PARTIDO HUMANISTA;158;0,11;0,06;0,11;Concejales;0
