Tipo convocatoria;Id convocatoria;ccaa;prv;circunscripcion;municipio;distrito;candidatura;votos;votos validos;votos censo;votos candidaturas;tipo de representante;representantes
4;202305;12;28;;79;;PARTIDO POPULAR DE MADRID;729.304;44,49;30,56;44,88;Concejales;29
4;202305;12;28;;79;;MÁS MADRID-VERDES EQUO;313.712;19,14;13,15;19,3;Concejales;12
4;202305;12;28;;79;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;274.786;16,76;11,52;16,91;Concejales;11
4;202305;12;28;;79;;VOX;148.994;9,09;6,24;9,17;Concejales;5
4;202305;12;28;;79;;PODEMOS - IZQUIERDA UNIDA - ALIANZA VERDE;80.219;4,89;3,36;4,94;Concejales;0
4;202305;12;28;;79;;CIUDADANOS-PARTIDO DE LA CIUDADANIA;47.429;2,89;1,99;2,92;Concejales;0
4;202305;12;28;;79;;PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE;8.530;0,52;0,36;0,52;Concejales;0
4;202305;12;28;;79;;PROFESIONALES POR MADRID-RECUPERA MADRID;6.442;0,39;0,27;0,4;Concejales;0
4;202305;12;28;;79;;POR UN MUNDO MAS JUSTO;2.647;0,16;0,11;0,16;Concejales;0
4;202305;12;28;;79;;ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS;2.496;0,15;0,1;0,15;Concejales;0
4;202305;12;28;;79;;PARTIDO FEMINISTA DE ESPAÑA;2.069;0,13;0,09;0,13;Concejales;0
4;202305;12;28;;79;;TERCERA EDAD EN ACCIÓN;1.632;0,1;0,07;0,1;Concejales;0
4;202305;12;28;;79;;PARTIDO CANNÁBICO LUZ VERDE;1.436;0,09;0,06;0,09;Concejales;0
4;202305;12;28;;79;;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;1.140;0,07;0,05;0,07;Concejales;0
4;202305;12;28;;79;;FALANGE ESPAÑOLA DE LAS JONS;970;0,06;0,04;0,06;Concejales;0
4;202305;12;28;;79;;PARTIDO HUMANISTA;815;0,05;0,03;0,05;Concejales;0
4;202305;12;28;;79;;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;742;0,05;0,03;0,05;Concejales;0
4;202305;12;28;;79;;PARTIDO CASTELLANO-TIERRA COMUNERA;733;0,04;0,03;0,05;Concejales;0
4;202305;12;28;;79;;COALICION MADRID CAPITAL;396;0,02;0,02;0,02;Concejales;0
4;202305;12;28;;79;;UNION POR LEGANES;335;0,02;0,01;0,02;Concejales;0
4;202305;12;28;;79;;PROGRESO DE CIUDADES;307;0,02;0,01;0,02;Concejales;0
