Tipo convocatoria;Id convocatoria;ccaa;prv;circunscripcion;municipio;distrito;candidatura;votos;votos validos;votos censo;votos candidaturas;tipo de representante;representantes
2;202307;;;;;;PARTIDO POPULAR;8.160.837;33,06;21,78;33,33;Diputados;137
2;202307;;;;;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;7.821.718;31,68;20,87;31,94;Diputados;121
2;202307;;;;;;VOX;3.057.000;12,38;8,16;12,48;Diputados;33
2;202307;;;;;;SUMAR;3.044.996;12,33;8,13;12,43;Diputados;31
2;202307;;;;;;ESQUERRA REPUBLICANA DE CATALUNYA;466.020;1,89;1,24;1,9;Diputados;7
2;202307;;;;;;JUNTS PER CATALUNYA - JUNTS;395.429;1,6;1,06;1,61;Diputados;7
2;202307;;;;;;EUSKAL HERRIA BILDU;335.129;1,36;0,89;1,37;Diputados;6
2;202307;;;;;;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;277.289;1,12;0,74;1,13;Diputados;5
2;202307;;;;;;PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE;169.237;0,69;0,45;0,69;Diputados;0
2;202307;;;;;;BLOQUE NACIONALISTA GALEGO;153.995;0,62;0,41;0,63;Diputados;1
2;202307;;;;;;COALICIÓN CANARIA;116.363;0,47;0,31;0,48;Diputados;1
2;202307;;;;;;CANDIDATURA D'UNITAT POPULAR-PER LA RUPTURA;99.644;0,4;0,27;0,41;Diputados;0
2;202307;;;;;;UNION DEL PUEBLO NAVARRO;52.188;0,21;0,14;0,21;Diputados;1
2;202307;;;;;;FRENTE OBRERO;46.274;0,19;0,12;0,19;Diputados;0
2;202307;;;;;;NUEVA CANARIAS - BLOQUE CANARISTA;45.595;0,18;0,12;0,19;Diputados;0
2;202307;;;;;;PARTIT DEMÒCRATA EUROPEU CATALÀ-ESPAI CIU;32.016;0,13;0,09;0,13;Diputados;0
2;202307;;;;;;RECORTES CERO;23.421;0,09;0,06;0,1;Diputados;0
2;202307;;;;;;POR UN MUNDO MÁS JUSTO;23.290;0,09;0,06;0,1;Diputados;0
2;202307;;;;;;UNIÓN DEL PUEBLO LEONÉS;23.201;0,09;0,06;0,09;Diputados;0
2;202307;;;;;;ARAGÓN EXISTE - COALICIÓN EXISTE;20.440;0,08;0,05;0,08;Diputados;0
2;202307;;;;;;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;18.218;0,07;0,05;0,07;Diputados;0
2;202307;;;;;;GEROA BAI;9.938;0,04;0,03;0,04;Diputados;0
2;202307;;;;;;SORIA ¡YA!;9.697;0,04;0,03;0,04;Diputados;0
2;202307;;;;;;ADELANTE ANDALUCÍA;9.191;0,04;0,02;0,04;Diputados;0
2;202307;;;;;;ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS;8.448;0,03;0,02;0,03;Diputados;0
2;202307;;;;;;JAÉN MERECE MÁS;8.293;0,03;0,02;0,03;Diputados;0
2;202307;;;;;;POR ÁVILA;7.362;0,03;0,02;0,03;Diputados;0
2;202307;;;;;;BLOQUE EXTREMEÑO;5.807;0,02;0,02;0,02;Diputados;0
2;202307;;;;;;CAMINANDO JUNTOS;5.620;0,02;0,01;0,02;Diputados;0
2;202307;;;;;;FALANGE ESPAÑOLA DE LAS J.O.N.S.;4.683;0,02;0,01;0,02;Diputados;0
2;202307;;;;;;PARTIDO ARAGONÉS;4.173;0,02;0,01;0,02;Diputados;0
2;202307;;;;;;ESPAÑA VACIADA;3.158;0,01;0,01;0,01;Diputados;0
2;202307;;;;;;PARTIDO HUMANISTA;2.902;0,01;0,01;0,01;Diputados;0
2;202307;;;;;;ASTURIAS EXISTE-ESPAÑA VACIADA;2.314;0,01;0,01;0,01;Diputados;0
2;202307;;;;;;POR HUELVA;1.931;0,01;0,01;0,01;Diputados;0
2;202307;;;;;;VAMOS PALENCIA;1.917;0,01;0,01;0,01;Diputados;0
2;202307;;;;;;ZAMORA SÍ;1.843;0,01;0;0,01;Diputados;0
2;202307;;;;;;VÍA BURGALESA;1.774;0,01;0;0,01;Diputados;0
2;202307;;;;;;POR MI REGIÓN;1.698;0,01;0;0,01;Diputados;0
2;202307;;;;;;AHORA CANARIAS-PARTIDO COMUNISTA DEL PUEBLO CANARIO;1.674;0,01;0;0,01;Diputados;0
