elecciones,partido,votos_insulares,votos_autonomica,escaños parlamento canario
2023,PARTIDO SOCIALISTA OBRERO ESPAÑOL,247811,295969,23
2023,COALICION CANARIA,201401,175198,19
2023,PARTIDO POPULAR,176308,183761,15
2023,VOX,71738,71887,4
2023,NUEVA CANARIAS - BLOQUE CANARISTA,72372,65028,5
2023,UNIDAS SÍ PODEMOS,35777,29556,0
2023,DRAGO VERDES CANARIAS,28899,30392,0
2023,UNIDOS POR GRAN CANARIA,17153,13760,0
2023,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE,11190,11803,0
2023,CIUDADANOS-PARTIDO DE LA CIUDADANIA,3510,3548,0
2023,AGRUPACION SOCIALISTA GOMERA,6765,0,3
2023,ASAMBLEAS MUNICIPALES DE FUERTEVENTURA,2840,3108,0
2023,PARTIDO NACIONALISTA CANARIO,2395,2417,0
2023,REUNIR CANARIAS SOSTENIBLE,2312,1998,0
2023,AHORA CANARIAS-PARTIDO COMUNISTA DEL PUEBLO CANARIO,2106,2156,0
2023,HABLEMOS AHORA,4030,0,0
2023,AHORA TÚ,0,3846,0
2023,MÁS CANARIAS,1476,2354,0
2023,TERCERA EDAD EN ACCIÓN,1898,0,0
2023,AGRUPACION HERREÑA INDEPENDIENTE,1660,0,1
2023,INICIATIVA POR LA GOMERA,1312,0,0
2023,PAIS CON GESTORES,0,1210,0
2023,ASAMBLEA HERREÑA,1089,0,0
2023,MOVIMIENTO ALTERNATIVO ELECTORAL,778,0,0
2023,CONTIGO SOMOS DEMOCRACIA,732,0,0
2023,UNION DEMOCRATICA DE CANARIAS,718,0,0
